index,label_id,label,split
0,6,frog,train
1,9,truck,train
2,9,truck,train
3,4,deer,train
4,1,automobile,train
5,1,automobile,train
6,2,bird,train
7,7,horse,train
8,8,ship,train
9,3,cat,train
10,4,deer,train
11,7,horse,train
12,7,horse,train
13,2,bird,train
14,9,truck,train
15,9,truck,train
16,9,truck,train
17,3,cat,train
18,2,bird,train
19,6,frog,train
20,4,deer,train
21,3,cat,train
22,6,frog,train
23,6,frog,train
24,2,bird,train
25,6,frog,train
26,3,cat,train
27,5,dog,train
28,4,deer,train
29,0,airplane,train
30,0,airplane,train
31,9,truck,train
32,1,automobile,train
33,3,cat,train
34,4,deer,train
35,0,airplane,train
36,3,cat,train
37,7,horse,train
38,3,cat,train
39,3,cat,train
40,5,dog,train
41,2,bird,train
42,2,bird,train
43,7,horse,train
44,1,automobile,train
45,1,automobile,train
46,1,automobile,train
47,2,bird,train
48,2,bird,train
49,0,airplane,train
50,9,truck,train
51,5,dog,train
52,7,horse,train
53,9,truck,train
54,2,bird,train
55,2,bird,train
56,5,dog,train
57,2,bird,train
58,4,deer,train
59,3,cat,train
60,1,automobile,train
61,1,automobile,train
62,8,ship,train
63,2,bird,train
64,1,automobile,train
65,1,automobile,train
66,4,deer,train
67,9,truck,train
68,7,horse,train
69,8,ship,train
70,5,dog,train
71,9,truck,train
72,6,frog,train
73,7,horse,train
74,3,cat,train
75,1,automobile,train
76,9,truck,train
77,0,airplane,train
78,3,cat,train
79,1,automobile,train
80,3,cat,train
81,5,dog,train
82,4,deer,train
83,5,dog,train
84,7,horse,train
85,7,horse,train
86,4,deer,train
87,7,horse,train
88,9,truck,train
89,4,deer,train
90,2,bird,train
91,3,cat,train
92,8,ship,train
93,0,airplane,train
94,1,automobile,train
95,6,frog,train
96,1,automobile,train
97,1,automobile,train
98,4,deer,train
99,1,automobile,train
100,8,ship,train
101,3,cat,train
102,9,truck,train
103,6,frog,train
104,6,frog,train
105,1,automobile,train
106,8,ship,train
107,5,dog,train
108,2,bird,train
109,9,truck,train
110,9,truck,train
111,8,ship,train
112,1,automobile,train
113,7,horse,train
114,7,horse,train
115,0,airplane,train
116,0,airplane,train
117,6,frog,train
118,9,truck,train
119,1,automobile,train
120,2,bird,train
121,2,bird,train
122,9,truck,train
123,2,bird,train
124,6,frog,train
125,6,frog,train
126,1,automobile,train
127,9,truck,train
128,5,dog,train
129,0,airplane,train
130,4,deer,train
131,7,horse,train
132,6,frog,train
133,7,horse,train
134,1,automobile,train
135,8,ship,train
136,1,automobile,train
137,1,automobile,train
138,2,bird,train
139,8,ship,train
140,1,automobile,train
141,3,cat,train
142,3,cat,train
143,6,frog,train
144,2,bird,train
145,4,deer,train
146,9,truck,train
147,9,truck,train
148,5,dog,train
149,4,deer,train
150,3,cat,train
151,6,frog,train
152,7,horse,train
153,4,deer,train
154,6,frog,train
155,8,ship,train
156,5,dog,train
157,5,dog,train
158,4,deer,train
159,3,cat,train
160,1,automobile,train
161,8,ship,train
162,4,deer,train
163,7,horse,train
164,6,frog,train
165,0,airplane,train
166,9,truck,train
167,5,dog,train
168,1,automobile,train
169,3,cat,train
170,8,ship,train
171,2,bird,train
172,7,horse,train
173,5,dog,train
174,3,cat,train
175,4,deer,train
176,1,automobile,train
177,5,dog,train
178,7,horse,train
179,0,airplane,train
180,4,deer,train
181,7,horse,train
